(area_avaliacao) id;(area_avaliacao) nome;(area_avaliacao) codigo;(area_conhecimento) id;(area_conhecimento) nome;(area_conhecimento) codigo;(area_conhecimento) area_avaliacao_id;(programa) id;(programa) nome;(programa) codigo;(programa) uf;(programa) area_conhecimento_id;(programa) instituicao_id;(instituicao) id;(instituicao) nome;(instituicao) codigo;(instituicao) acronimo;(instituicao) endereco;(instituicao) distrito;(instituicao) cidade;(instituicao) estado;(instituicao) tipo;(instituicao) cep;(instituicao) caixa_postal;(instituicao) url;(instituicao) coordenadas;(curso) id;(curso) nome;(curso) situacao;(curso) nivel;(curso) nota_curso;(curso) data_recomendacao;(curso) data_inicio;(curso) programa_id
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;105;Gestão de Negócios;33146012002P2;SP;2;87;87;FACULDADE FIA DE ADMINISTRAÇÃO E NEGÓCIOS;338858;FFIA;AVENIDA DAS NAÇÕES UNIDAS 7221;None;São Paulo;SP;None;05425902;None;http://www.fia.com.br;-23.56773 -46.74411;145;Gestão de Negócios;EM FUNCIONAMENTO;Mestrado Profissional;3;21/08/2012;07/03/2014;105
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;106;CONTROLADORIA E FINANÇAS;33113017001P1;SP;2;88;88;FACULDADE FIPECAFI;338826;FIPECAFI;Maestro Cardim 1170;None;São Paulo;SP;None;01323001;None;http://www.fipecafi.org/;-23.57124 -46.64234;146;MESTRADO PROFISSIONAL EM CONTROLADORIA E FINANÇAS;EM FUNCIONAMENTO;Mestrado Profissional;3;26/03/2015;15/02/2016;106
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;107;Administração;42051010002P0;RS;2;89;89;FACULDADE MERIDIONAL;339175;IMED;Rua Senador Pinheiro 304;None;Passo Fundo;RS;None;99070220;None;http://www.imed.edu.br/Ensino/administracao/mestrado/Apresentacao/;-28.26514 -52.39712;147;Administração;EM FUNCIONAMENTO;Mestrado;4;09/12/2013;01/01/2014;107
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;108;ADMINISTRAÇÃO;32065019001P3;MG;2;90;90;FACULDADE PEDRO LEOPOLDO;338174;FPL;Avenida Lincoln Diogo Viana 830;None;Pedro Leopoldo;MG;None;33600000;None;http://www.fpl.edu.br;-19.63593 -44.00279;148;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Mestrado Profissional;3;29/01/2002;01/01/2000;108
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;109;CIÊNCIAS CONTÁBEIS;33302006001P2;RJ;2;91;91;FUCAPE PESQUISA ENSINO E PARTICIPAÇÕES LIMITADA;316167;FUCAPE;Rua da Assembléia 98;None;Rio de Janeiro;RJ;None;20081010;None;http://www.fucape.br;-22.90578 -43.17768;149;CIÊNCIAS CONTÁBEIS;EM FUNCIONAMENTO;Mestrado Profissional;3;08/11/2014;07/08/2015;109
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;110;CONTABILIDADE E ADMINISTRAÇÃO;21016003001P4;MA;2;92;92;FUCAPE PESQUISA ENSINO E PARTICIPAÇÕES LIMITADA;331158;FUCAPE;Av. dos Holandeses 01;None;São Luís;MA;None;65077635;None;http://www.fucape.br;-2.49031 -44.29628;150;CONTABILIDADE E ADMINISTRAÇÃO;EM FUNCIONAMENTO;Mestrado;3;15/04/2016;25/01/2017;110
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;111;GESTÃO CONTEMPORÂNEA DAS ORGANIZAÇÕES;31105009001P1;MG;2;93;93;FUNDAÇÃO DOM CABRAL;316159;FDC;Av. Princesa Diana, 760 760;None;Nova Lima;MG;None;34000000;None;http://www.fdc.org.br/Paginas/default.aspx;-20.16357 -43.95397;151;GESTÃO CONTEMPORÂNEA DAS ORGANIZAÇÕES;EM FUNCIONAMENTO;Mestrado Profissional;4;26/03/2015;28/07/2016;111
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;112;ADMINISTRAÇÃO DE EMPRESAS;33014019004P0;SP;2;94;94;FUNDAÇÃO GETÚLIO VARGAS;338727;FGV;Rua Itapeva 432;None;São Paulo;SP;None;01332000;None;http://www.fgv.br/mpa;-23.55818 -46.64979;152;ADMINISTRAÇÃO DE EMPRESAS;EM FUNCIONAMENTO;Mestrado Profissional;5;16/12/1998;01/01/1974;112
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;112;ADMINISTRAÇÃO DE EMPRESAS;33014019004P0;SP;2;94;94;FUNDAÇÃO GETÚLIO VARGAS;338727;FGV;Rua Itapeva 432;None;São Paulo;SP;None;01332000;None;http://www.fgv.br/mpa;-23.55818 -46.64979;153;DOUTORADO PROFISSIONAL EM ADMINISTRAÇÃO;EM PROJETO;Doutorado Profissional;5;20/02/2019;-;112
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;113;ADMINISTRAÇÃO DE EMPRESAS;33014019001P0;SP;2;94;94;FUNDAÇÃO GETÚLIO VARGAS;338727;FGV;Rua Itapeva 432;None;São Paulo;SP;None;01332000;None;http://www.fgv.br/mpa;-23.55818 -46.64979;154;ADMINISTRAÇÃO DE EMPRESAS;EM FUNCIONAMENTO;Mestrado;7;-;01/01/1974;113
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;113;ADMINISTRAÇÃO DE EMPRESAS;33014019001P0;SP;2;94;94;FUNDAÇÃO GETÚLIO VARGAS;338727;FGV;Rua Itapeva 432;None;São Paulo;SP;None;01332000;None;http://www.fgv.br/mpa;-23.55818 -46.64979;155;ADMINISTRAÇÃO DE EMPRESAS;EM FUNCIONAMENTO;Doutorado;7;-;01/01/1976;113
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;114;ADMINISTRAÇÃO PÚBLICA E GOVERNO;33014019003P3;SP;2;94;94;FUNDAÇÃO GETÚLIO VARGAS;338727;FGV;Rua Itapeva 432;None;São Paulo;SP;None;01332000;None;http://www.fgv.br/mpa;-23.55818 -46.64979;156;ADMINISTRAÇÃO PÚBLICA E GOVERNO;EM FUNCIONAMENTO;Mestrado;6;-;01/01/1990;114
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;114;ADMINISTRAÇÃO PÚBLICA E GOVERNO;33014019003P3;SP;2;94;94;FUNDAÇÃO GETÚLIO VARGAS;338727;FGV;Rua Itapeva 432;None;São Paulo;SP;None;01332000;None;http://www.fgv.br/mpa;-23.55818 -46.64979;157;ADMINISTRAÇÃO PÚBLICA E GOVERNO;EM FUNCIONAMENTO;Doutorado;6;26/03/2002;01/01/2002;114
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;115;GESTÃO INTERNACIONAL;33014019006P2;SP;2;94;94;FUNDAÇÃO GETÚLIO VARGAS;338727;FGV;Rua Itapeva 432;None;São Paulo;SP;None;01332000;None;http://www.fgv.br/mpa;-23.55818 -46.64979;158;GESTÃO INTERNACIONAL;EM FUNCIONAMENTO;Mestrado Profissional;4;23/06/2009;01/01/2009;115
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;116;GESTÃO PARA A COMPETITIVIDADE;33014019007P9;SP;2;94;94;FUNDAÇÃO GETÚLIO VARGAS;338727;FGV;Rua Itapeva 432;None;São Paulo;SP;None;01332000;None;http://www.fgv.br/mpa;-23.55818 -46.64979;159;MESTRADO PROFISSIONAL EM GESTÃO PARA COMPETITIVIDADE;EM FUNCIONAMENTO;Mestrado Profissional;4;23/10/2015;12/08/2016;116
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;117;ADMINISTRAÇÃO;31011012011P1;RJ;2;95;95;FUNDAÇÃO GETÚLIO VARGAS;338592;FGV;Rua Jornalista Orlando Dantas 30;None;Rio de Janeiro;RJ;None;22231010;None;http://www.ebape.fgv.br;-22.94153 -43.18009;160;EXECUTIVO EM GESTÃO EMPRESARIAL;EM FUNCIONAMENTO;Mestrado Profissional;5;27/07/2002;01/01/2002;117
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;118;ADMINISTRAÇÃO;31011012004P5;RJ;2;95;95;FUNDAÇÃO GETÚLIO VARGAS;338592;FGV;Rua Jornalista Orlando Dantas 30;None;Rio de Janeiro;RJ;None;22231010;None;http://www.ebape.fgv.br;-22.94153 -43.18009;161;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Mestrado;7;-;01/01/1967;118
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;118;ADMINISTRAÇÃO;31011012004P5;RJ;2;95;95;FUNDAÇÃO GETÚLIO VARGAS;338592;FGV;Rua Jornalista Orlando Dantas 30;None;Rio de Janeiro;RJ;None;22231010;None;http://www.ebape.fgv.br;-22.94153 -43.18009;162;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Doutorado;7;23/06/1997;01/01/1997;118
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;119;Administração;31011012014P0;RJ;2;95;95;FUNDAÇÃO GETÚLIO VARGAS;338592;FGV;Rua Jornalista Orlando Dantas 30;None;Rio de Janeiro;RJ;None;22231010;None;http://www.ebape.fgv.br;-22.94153 -43.18009;163;Administração Pública;EM FUNCIONAMENTO;Mestrado Profissional;4;25/10/2011;01/01/2012;119
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;120;ADMINISTRAÇÃO DE NEGÓCIOS;31011012016P3;RJ;2;95;95;FUNDAÇÃO GETÚLIO VARGAS;338592;FGV;Rua Jornalista Orlando Dantas 30;None;Rio de Janeiro;RJ;None;22231010;None;http://www.ebape.fgv.br;-22.94153 -43.18009;164;ADMINISTRAÇÃO DE NEGÓCIOS;EM PROJETO;Mestrado Profissional;4;23/12/2016;-;120
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;121;ADMINISTRAÇÃO;30007011002P6;ES;2;96;96;FUNDAÇÃO INSTITUTO CAPIXABA DE PESQUISA EM CONTABILIDADE ECONOMIA E FINANÇAS;338561;FUCAPE;Fernando Ferrari    1358;None;Vitória;ES;None;29075505;None;http://www.fucape.br;-20.27363 -40.30038;165;ADMINISTRAÇÃO - Mestrado;EM FUNCIONAMENTO;Mestrado Profissional;4;06/03/2007;01/01/2007;121
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;122;ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS;30007011003P2;ES;2;96;96;FUNDAÇÃO INSTITUTO CAPIXABA DE PESQUISA EM CONTABILIDADE ECONOMIA E FINANÇAS;338561;FUCAPE;Fernando Ferrari    1358;None;Vitória;ES;None;29075505;None;http://www.fucape.br;-20.27363 -40.30038;166;ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS;EM FUNCIONAMENTO;Mestrado;5;22/07/2008;01/01/2009;122
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;122;ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS;30007011003P2;ES;2;96;96;FUNDAÇÃO INSTITUTO CAPIXABA DE PESQUISA EM CONTABILIDADE ECONOMIA E FINANÇAS;338561;FUCAPE;Fernando Ferrari    1358;None;Vitória;ES;None;29075505;None;http://www.fucape.br;-20.27363 -40.30038;167;CIÊNCIAS CONTÁBEIS E ADMINISTRAÇÃO;EM FUNCIONAMENTO;Doutorado;5;30/07/2009;01/01/2009;122
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;123;CIÊNCIAS CONTÁBEIS;30007011001P0;ES;2;96;96;FUNDAÇÃO INSTITUTO CAPIXABA DE PESQUISA EM CONTABILIDADE ECONOMIA E FINANÇAS;338561;FUCAPE;Fernando Ferrari    1358;None;Vitória;ES;None;29075505;None;http://www.fucape.br;-20.27363 -40.30038;168;CIÊNCIAS CONTÁBEIS;EM FUNCIONAMENTO;Mestrado Profissional;5;04/11/2003;01/01/2001;123
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;123;CIÊNCIAS CONTÁBEIS;30007011001P0;ES;2;96;96;FUNDAÇÃO INSTITUTO CAPIXABA DE PESQUISA EM CONTABILIDADE ECONOMIA E FINANÇAS;338561;FUCAPE;Fernando Ferrari    1358;None;Vitória;ES;None;29075505;None;http://www.fucape.br;-20.27363 -40.30038;169;CIÊNCIAS CONTÁBEIS;EM FUNCIONAMENTO;Doutorado Profissional;5;12/12/2018;15/01/2019;123
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;124;ADMINISTRAÇÃO PÚBLICA;32049013001P5;MG;2;97;97;FUNDAÇÃO JOÃO PINHEIRO - ESCOLA DE GOVERNO;338158;FJP;ALAMEDA DAS ACÁCIAS, 70 70;None;Belo Horizonte;MG;None;31275150;None;http://www.eg.fjp.mg.gov.br;-19.85235 -43.96449;170;ADMINISTRAÇÃO PÚBLICA;EM FUNCIONAMENTO;Mestrado;3;07/04/1999;01/01/1995;124
